Date,Description,Amount
2025-01-15,Home Depot #2341 Purchase,-324.50
2025-01-14,Shell Gas Station,-65.00
2025-01-13,Starbucks Coffee,-12.45
2025-01-12,Office Depot Supplies,-189.99
2025-01-10,Google Workspace Subscription,-15.00
2025-01-09,Lowes Hardware Store,-456.78
2025-01-08,Chevron Gas Station,-58.32
2025-01-07,QuickBooks Monthly Fee,-35.00
2025-01-06,State Farm Insurance Payment,-245.00
2025-01-05,Home Depot #2341 Purchase,-567.23
2025-01-04,FedEx Shipping,-45.67
2025-01-03,AutoZone Auto Parts,-123.45
2025-01-02,Adobe Creative Cloud,-52.99
2025-01-01,DEPOSIT - PAYMENT,1500.00
2024-12-30,Ace Hardware Supplies,-98.76
2024-12-29,Rent Payment - Office Space,-1200.00
2024-12-28,Electric Company Utility Bill,-156.78
2024-12-27,Uber Ride,-23.45
2024-12-26,Restaurant - Client Meeting,-87.50
2024-12-24,Home Depot #2341 Purchase,-234.56
2024-12-23,Staples Office Supplies,-145.32
2024-12-22,Google Ads Marketing,-350.00
2024-12-21,Shell Gas Station,-62.10
2024-12-20,Microsoft 365 Business,-22.00
2024-12-19,Lowes Hardware Store,-389.45
2024-12-18,Progressive Insurance,-178.00
2024-12-17,Home Depot #2341 Purchase,-456.78
2024-12-16,USPS Postage,-34.50
2024-12-15,Zoom Pro Subscription,-14.99
2024-12-14,Chevron Gas Station,-59.88
2024-12-13,Bank Service Fee,-15.00
2024-12-12,Home Depot #2341 Purchase,-678.90
2024-12-11,Napa Auto Parts,-234.56
2024-12-10,Dropbox Business,-20.00
2024-12-09,Tax Payment - Quarterly,-890.00
2024-12-08,Home Depot #2341 Purchase,-345.67
2024-12-07,O'Reilly Auto Parts,-156.78
2024-12-06,Slack Workspace,-12.50
2024-12-05,Water Utility Bill,-67.89
2024-12-04,Home Depot #2341 Purchase,-567.89
2024-12-03,Lowes Hardware Store,-234.56
2024-12-02,GoDaddy Domain Renewal,-35.99
2024-12-01,Gas Company Utility,-89.45
2024-11-30,Home Depot #2341 Purchase,-456.78
2024-11-29,Shell Gas Station,-64.23
2024-11-28,Refund - Home Depot,45.00
2024-11-27,Geico Insurance Payment,-198.00
2024-11-26,Home Depot #2341 Purchase,-789.12
2024-11-25,Yelp Advertising,-150.00
2024-11-24,Lowes Hardware Store,-345.67
2024-11-23,Facebook Ads Marketing,-275.00
2024-11-22,Home Depot #2341 Purchase,-234.56
2024-11-21,Chevron Gas Station,-61.45
2024-11-20,QuickBooks Monthly Fee,-35.00
2024-11-19,Home Depot #2341 Purchase,-567.89
2024-11-18,Office Depot Supplies,-123.45
2024-11-17,FedEx Overnight Shipping,-78.90
2024-11-16,Home Depot #2341 Purchase,-456.78
2024-11-15,Rent Payment - Office Space,-1200.00
2024-11-14,Electric Company Utility Bill,-167.89
2024-11-13,Shell Gas Station,-63.21
2024-11-12,Home Depot #2341 Purchase,-345.67
2024-11-11,Adobe Creative Cloud,-52.99
2024-11-10,Lowes Hardware Store,-456.78
2024-11-09,Allstate Insurance,-220.00
2024-11-08,Home Depot #2341 Purchase,-234.56
2024-11-07,AutoZone Auto Parts,-145.67
2024-11-06,Google Workspace Subscription,-15.00
2024-11-05,Home Depot #2341 Purchase,-567.89
2024-11-04,Staples Office Supplies,-98.76
2024-11-03,Chevron Gas Station,-58.90
2024-11-02,License Renewal Fee,-125.00
2024-11-01,Home Depot #2341 Purchase,-678.90
2024-10-31,Lowes Hardware Store,-234.56
2024-10-30,Shell Gas Station,-65.43
2024-10-29,Microsoft 365 Business,-22.00
2024-10-28,Home Depot #2341 Purchase,-456.78
2024-10-27,UPS Ground Shipping,-34.56
2024-10-26,Napa Auto Parts,-178.90
2024-10-25,Home Depot #2341 Purchase,-345.67
2024-10-24,Water Utility Bill,-71.23
2024-10-23,Lowes Hardware Store,-567.89
2024-10-22,Zoom Pro Subscription,-14.99
2024-10-21,Home Depot #2341 Purchase,-234.56
2024-10-20,Chevron Gas Station,-62.34
2024-10-19,Tax Payment - State,-456.00
2024-10-18,Home Depot #2341 Purchase,-678.90
2024-10-17,O'Reilly Auto Parts,-145.67
2024-10-16,Dropbox Business,-20.00
2024-10-15,Rent Payment - Office Space,-1200.00
2024-10-14,Electric Company Utility Bill,-178.90
2024-10-13,Home Depot #2341 Purchase,-345.67
2024-10-12,Shell Gas Station,-59.87
2024-10-11,QuickBooks Monthly Fee,-35.00
2024-10-10,Lowes Hardware Store,-456.78
2024-10-09,State Farm Insurance Payment,-245.00
2024-10-08,Home Depot #2341 Purchase,-234.56
